alignment_block_idx,position_idx,"({sp1,sp2},sp3)","((sp1,sp2),sp3)","((sp1,sp3),sp2)","((sp2,sp3),sp1)"
32,0,0.7322606638977652,0.0828761552829184,0.1029484855799632,0.08191469523935181
32,1,0.7319550978821443,0.08295197968144628,0.1031456158582378,0.08194730657817029
32,2,0.7316469914261239,0.083028282895064,0.10334447307901451,0.08198025259979659
32,3,0.7313363227085835,0.0831050708091214,0.10354507287288339,0.0820135336094104
32,4,0.7310230700014563,0.08318234925804921,0.10374743094781878,0.0820471497926746
32,5,0.7307072116606169,0.08326012402700461,0.1039515630953978,0.08208110121697962
32,6,0.7303887261287947,0.08333840085248552,0.1041574851906099,0.08211538782810841
32,7,0.730067591924563,0.0834171854239758,0.1043652131972955,0.08215000945416422
32,8,0.7297437876423019,0.08349648338460579,0.1045747631705975,0.08218496580249349
32,9,0.729417291948003,0.0835763003316102,0.1047861512606602,0.08222025645972529
32,10,0.7290880835721928,0.0836566418193118,0.1049993937154081,0.0822558808930858
32,11,0.7287561413095526,0.0837375133576514,0.1052145068852107,0.08229183844758381
32,12,0.7284214440125967,0.083818920414913,0.1054315072245583,0.08232812834793071
32,13,0.7280839705878976,0.08390086841746221,0.10565041129789321,0.0823647496967457
32,14,0.7276526171771973,0.0840015332528519,0.10591051512071419,0.08243533444923529
32,15,0.7272182232583915,0.08410282153594661,0.1061726648894656,0.082506290316195
32,16,0.7267807642730312,0.08420473877891879,0.1064368796744202,0.0825776172736286
32,17,0.7263402156592761,0.0843072904710148,0.1067031786904914,0.0826493151792168
32,18,0.725896552851473,0.08441048207797269,0.1069715812981107,0.08272138377244219
32,19,0.7254497512729898,0.0845143190429406,0.1072421070096295,0.08279382267443879
32,20,0.7249997863354725,0.08461880678821279,0.1075147754911722,0.08286663138514119
32,21,0.7245466334303554,0.0847239507148396,0.10778960657005722,0.0829398092847467
32,22,0.72409026793051,0.0848297562039607,0.1080666202346525,0.0830133556308757
32,23,0.7236306651833783,0.08493622861747,0.10834583664072689,0.08308726955842341
32,24,0.7231678005052927,0.08504337329873592,0.10862727611718169,0.0831615500787885
32,25,0.7227016491821064,0.0851511955732126,0.10891095916725,0.0832361960774294
32,26,0.7222321864611664,0.0852597007491624,0.10919690647530551,0.0833112063143645
32,27,0.7225319745092763,0.0851769033984381,0.10910156724176952,0.0831895548505151
32,28,0.722828926048796,0.0850948210722731,0.10900799827053251,0.08306825460839719
32,29,0.7231230437178225,0.08501345317860062,0.1089161971623951,0.0829473059411808
32,30,0.7234143302693925,0.08493279909449758,0.1088261615798483,0.0828267090562607
32,31,0.7236100644245748,0.08487084524532001,0.10877849271138709,0.0827405976187166
32,32,0.7238030917405942,0.08480954949792122,0.10873254675526779,0.0826548120062157
32,33,0.7239934117693553,0.08474891144548731,0.1086883236477295,0.08256935313742711
32,34,0.7241810241672755,0.08468893064906731,0.10864582338421039,0.08248422179944578
32,35,0.7243659286979308,0.0846296066395614,0.1086050460151142,0.08239941864739239
32,36,0.724548125224999,0.08457093891660779,0.10856599165088102,0.0823149442075108
32,37,0.7247276137135771,0.0845129269508652,0.1085286604571249,0.0822307988784316
32,38,0.7249043942238153,0.0844555701846178,0.1084930526595081,0.08214698293205719
32,39,0.7250784669094209,0.0843988680317294,0.10845916854164189,0.0820634965172065
32,40,0.7252498320136337,0.08434281987960479,0.10842700844675209,0.08198033966000841
32,41,0.7254184898707097,0.0842874250875412,0.10839657277622301,0.0818975122655249
32,42,0.7255844408974369,0.08423268299079371,0.10836786199359578,0.08181501411817249
32,43,0.725747685596761,0.0841785928978225,0.10834087662057051,0.0817328448848449
32,44,0.7259082245510473,0.0841251540933466,0.10831561724038449,0.0816510041152203
32,45,0.7260660584203281,0.0840723658375872,0.1082920844979388,0.0815694912441442
32,46,0.7262211879431186,0.08402022736727319,0.1082702790990301,0.0814883055905768
32,47,0.7263736139321235,0.0839687378959886,0.10825020181111421,0.08140744636077239
32,48,0.7265233372708626,0.08391789661509201,0.10823185346481849,0.0813269126492259
32,49,0.7266703589148881,0.083867702694405,0.10821523495251481,0.0812467034381911
32,50,0.7268146798877526,0.0838181552808542,0.1082003472307777,0.08116681760061409
32,51,0.726956301279007,0.0837692535023055,0.10818719131906832,0.081087253899618
32,52,0.7270952242442665,0.0837209964646976,0.1081757683009007,0.08100801099013351
32,53,0.7272314500028907,0.08367338325382209,0.1081660793239728,0.0809290874193132
32,54,0.7273649798345069,0.0836264129362872,0.108158125601117,0.0808504816280876
32,55,0.7274958150807646,0.0835800845584384,0.1081519084104909,0.080772191950305
32,56,0.727623957139695,0.08353439714922391,0.1081474290958416,0.0806942166152383
32,57,0.7277494074690638,0.08348934971741889,0.1081446890663942,0.08061655374712161
32,58,0.7278721675819383,0.08344494125388238,0.108143689798679,0.0805392013654989
32,59,0.7279922390452074,0.0834011707316387,0.1081444328355786,0.08046215738757441
32,60,0.7281096234810578,0.0833580371056183,0.10814691978738271,0.0803854196259402
32,61,0.7282243225634816,0.08331553931359709,0.10815115233207001,0.0803089857908501
32,62,0.7283363380162766,0.08327367627638851,0.1081571322165675,0.08023285349076621
32,63,0.7284456716164517,0.0832324468971755,0.1081648612551593,0.08015702023121231
32,64,0.7285523251879528,0.0831918500627519,0.1081743413323187,0.0800814834169756
32,65,0.7286563006046062,0.08315188464403431,0.108185574400964,0.08000624035039429
32,66,0.728757599786996,0.0831125494944567,0.10819856248505771,0.0799312882334883
32,67,0.728856224703015,0.08307384345209008,0.10821330767830921,0.0798566241665844
32,68,0.7289521773666231,0.08303576533882001,0.1082298121455614,0.07978224514899399
32,69,0.7290454598381717,0.0829983139609993,0.108248078121961,0.0797081480788665
32,70,0.7291360742204162,0.08296148810915271,0.1082681079160864,0.0796343297543435
32,71,0.7292240226615725,0.0829252865578819,0.1082899039077926,0.07956078687275171
32,72,0.7293093073544565,0.08288970806724971,0.1083134685496791,0.0794875160286133
32,73,0.7293919305355967,0.0828547513805664,0.10833880436670609,0.0794145137171297
32,74,0.729471894481853,0.08282041522739851,0.108365913958908,0.07934177633183931
32,75,0.7295492015144623,0.08278669832108398,0.1083947999994501,0.07926930016500229
32,76,0.7296238539961636,0.0827535993603505,0.10842546523700379,0.0791970814064806
32,77,0.7296958543323355,0.08272111702850111,0.10845791249378972,0.07912511614537229
32,78,0.7297652049701476,0.08268924999393441,0.10849214466862091,0.07905340036729572
32,79,0.7298319083980787,0.0826579969093033,0.1085281647367077,0.0789819299559092
32,80,0.7298959671449977,0.08262735641381849,0.10856597574917022,0.0789107006920122
32,81,0.7299573837837003,0.08259732712945118,0.10860558083447709,0.0788397082523695
32,82,0.7299265912793332,0.0825852985515077,0.10868699836655842,0.0788011118025993
32,83,0.729893165717841,0.0825738745493272,0.1087702397729615,0.07876271995986911
32,84,0.7298571064492638,0.0825630538761699,0.1088553105026734,0.078724529171892
32,85,0.729818412864689,0.0825528352690935,0.10894221608785251,0.07868653577836379
32,86,0.7297770843996125,0.0825432174487141,0.10903096214342169,0.0786487360082503
32,87,0.7297331205347513,0.08253419911892701,0.1091215543660199,0.07861112598030022
32,88,0.729686520791054,0.0825257789679321,0.10921399853886879,0.0785737017021434
